,Tokens,POS
0,old,ADJ
1,first,ADJ
2,English,ADJ
3,long,ADJ
4,little,ADJ
5,much,ADJ
6,English,ADJ
7,long,ADJ
8,exact,ADJ
9,fourth,ADJ
10,first,ADJ
11,English,ADJ
12,excited,ADJ
13,full,ADJ
14,old,ADJ
15,old,ADJ
16,poor,ADJ
17,old,ADJ
18,embarrassing,ADJ
19,English,ADJ
20,junior,ADJ
21,high,ADJ
22,greater,ADJ
23,more,ADJ
24,other,ADJ
25,lazy,ADJ
26,useful,ADJ
27,good,ADJ
28,upper,ADJ
29,secondary,ADJ
30,more,ADJ
31,most,ADJ
32,English,ADJ
33,few,ADJ
34,enough,ADJ
35,spare,ADJ
36,sure,ADJ
37,much,ADJ
38,least,ADJ
39,English,ADJ
40,English,ADJ
41,old,ADJ
42,caring,ADJ
43,complicated,ADJ
44,English,ADJ
45,present,ADJ
46,many,ADJ
47,most,ADJ
48,strange,ADJ
49,sad,ADJ
50,great,ADJ
51,glad,ADJ
52,good,ADJ
53,major,ADJ
54,large,ADJ
55,passive,ADJ
56,acceptable,ADJ
57,grammatical,ADJ
58,limited,ADJ
59,impossible,ADJ
60,adjective,ADJ
61,good,ADJ
62,better,ADJ
63,huge,ADJ
64,correct,ADJ
65,difficult,ADJ
66,right,ADJ
67,right,ADJ
68,enormous,ADJ
69,annoying,ADJ
70,large,ADJ
71,passive,ADJ
72,major,ADJ
73,difficult,ADJ
74,suitable,ADJ
75,comfortable,ADJ
76,passive,ADJ
77,deeper,ADJ
78,typical,ADJ
79,Swedish,ADJ
80,other,ADJ
81,grammatical,ADJ
82,English,ADJ
83,special,ADJ
84,English,ADJ
85,cute,ADJ
86,little,ADJ
87,different,ADJ
88,little,ADJ
89,interested,ADJ
90,favourite,ADJ
91,best,ADJ
92,most,ADJ
93,whole,ADJ
94,new,ADJ
95,native,ADJ
96,other,ADJ
97,incredible,ADJ
98,much,ADJ
99,different,ADJ
100,afraid,ADJ
101,perfect,ADJ
102,main,ADJ
103,poor,ADJ
104,simple,ADJ
105,non,ADJ
