Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0101.a3.txt,1977.4,1096.05,734.46,451.98,1,0,2
0102.a3.txt,1817.13,1099.54,543.98,370.37,2,0,0
0103.a3.txt,2034.88,886.63,1046.51,581.4,9,0,2
0104.a3.txt,1651.84,1105.46,622.62,533.67,4,0,0
0105.a3.txt,1651.73,1306.02,640.2,793.85,2,0,2
0106.a3.txt,2205.7,954.15,768.28,594.8,1,0,0
0107.a3.txt,2232.03,1034.05,857.5,479.19,4,0,0
0109.a3.txt,1913.27,1262.76,446.43,408.16,2,0,0
0110.a3.txt,2015.02,1251.56,675.84,500.63,2,0,0
0111.a3.txt,1936.34,1167.11,530.5,397.88,3,0,2
0112.a3.txt,2049.76,1054.5,722.75,639.81,1,0,0
0115.a3.txt,2225.13,1178.01,667.54,706.81,0,0,0
0118.a3.txt,2541.11,1106.13,881.91,343.8,0,0,1
0119.a3.txt,2105.26,1101.59,734.39,465.12,1,0,1
0120.a3.txt,2109.04,1018.65,932.57,545.19,0,0,0
0121.a3.txt,1858.64,1007.85,471.2,562.83,6,0,0
0122.a3.txt,2355.83,1092.02,674.85,453.99,0,0,1
0125.a3.txt,2084.89,923.85,1023.72,474.41,3,0,2
0127.a3.txt,1865.36,995.79,729.31,532.96,10,0,1
0128.a3.txt,1973.15,1140.94,510.07,644.3,3,0,2
0130.a3.txt,1568.63,980.39,680.51,715.11,11,0,0
0131.a3.txt,2151.9,1063.29,708.86,708.86,0,0,0
0133.a3.txt,1805.13,984.62,533.33,646.15,8,0,2
0134.a3.txt,2077.29,978.26,1002.42,591.79,0,0,0
0135.a3.txt,2002.55,1122.45,650.51,420.92,1,0,0
0136.a3.txt,2018.67,1225.2,630.11,443.41,0,0,0
0137.a3.txt,2002.49,920.4,796.02,671.64,0,0,0
0138.a3.txt,2059.26,1274.07,637.04,355.56,0,0,0
0139.a3.txt,1989.53,1335.08,654.45,340.31,0,0,0
0142.a3.txt,2167.3,1159.7,988.59,304.18,0,0,0
0143.a3.txt,2220.92,940.07,599.29,399.53,7,0,0
0146.a3.txt,1553.64,1430.33,616.52,530.21,10,0,0
0149.a3.txt,2121.43,1163.13,577.91,636.43,0,0,0
0155.a3.txt,1849.02,1050.33,754.92,459.52,2,0,1
0156.a3.txt,1979.95,1165.41,576.44,413.53,2,0,0
0157.a3.txt,1444.17,1201.46,594.66,558.25,0,0,0
0158.a3.txt,1782.31,1197.28,761.9,489.8,2,0,0
0159.a3.txt,2161.84,1099.03,531.4,603.86,1,0,5
0161.a3.txt,2126.29,953.61,837.63,489.69,0,0,0
0162.a3.txt,2382.76,887.2,722.43,418.25,0,0,0
0163.a3.txt,1751.74,986.08,696.06,614.85,0,0,2
0165.a3.txt,1733.33,1211.11,611.11,466.67,4,0,1
0168.a3.txt,1688.48,1217.28,680.63,484.29,1,0,2
0169.a3.txt,2163.46,1045.67,612.98,444.71,2,0,7
0171.a3.txt,1805.41,1297.3,627.03,551.35,2,0,0
0172.a3.txt,2079.91,1081.08,763.81,434.78,1,0,0
0173.a3.txt,2148.88,1207.87,547.75,519.66,1,0,1
0174.a3.txt,1952.58,1087.87,1143.65,446.3,1,0,1
0175.a3.txt,1903.55,1180.2,558.38,380.71,1,0,0
0176.a3.txt,2133.33,1066.67,496.97,412.12,3,0,0
0177.a3.txt,1844.44,1022.22,688.89,688.89,5,0,0
0178.a3.txt,2126.98,1026.46,804.23,634.92,0,0,1
0179.a3.txt,2250.0,1166.67,583.33,404.76,2,0,2
0182.a3.txt,2091.66,1128.08,646.3,599.29,0,0,2
0185.a3.txt,1924.83,1093.39,603.64,478.36,3,0,2
0186.a3.txt,1901.14,1026.62,798.48,735.11,2,0,0
0187.a3.txt,1677.1,1013.77,876.1,475.59,11,0,1
0188.a3.txt,1723.7,1204.06,760.46,544.99,2,0,0
0189.a3.txt,1931.41,1164.26,568.59,514.44,0,0,0
0190.a3.txt,1552.51,1255.71,536.53,468.04,1,0,5
0192.a3.txt,1522.03,1281.71,560.75,240.32,1,0,0
0193.a3.txt,2048.04,1226.3,594.18,353.98,4,1,0
0195.a3.txt,1982.32,984.85,429.29,631.31,1,0,1
0196.a3.txt,1986.3,1255.71,742.01,319.63,0,0,0
0198.a3.txt,1843.04,1034.48,475.62,487.51,2,1,0
0199.a3.txt,1926.83,1121.95,573.17,548.78,0,0,1
0200.a3.txt,2191.96,1063.55,739.3,791.18,0,0,1
0202.a3.txt,1985.43,1165.76,947.18,418.94,0,0,0
0203.a3.txt,2391.3,1111.11,748.79,386.47,4,0,1
0204.a3.txt,2072.83,1148.46,574.23,532.21,2,0,1
0205.a3.txt,2082.47,1041.24,618.56,453.61,2,0,1
0206.a3.txt,2286.87,1041.95,608.93,324.76,3,0,0
0207.a3.txt,1666.67,1263.02,625.0,312.5,0,2,0
0208.a3.txt,1950.35,1241.13,460.99,780.14,1,0,1
0209.a3.txt,2283.16,1173.47,573.98,280.61,3,0,4
0213.a3.txt,1802.12,1378.09,789.16,412.25,1,0,0
0214.a3.txt,1712.57,970.06,862.28,550.9,6,0,4
0215.a3.txt,1734.69,1267.01,459.18,425.17,2,0,5
0216.a3.txt,2356.46,968.9,693.78,454.55,1,0,1
0218.a3.txt,1958.89,1257.56,592.5,350.67,0,0,1
0219.a3.txt,2147.56,1238.47,566.53,606.06,1,0,1
0221.a3.txt,1917.61,1278.41,582.39,326.7,0,0,0
0222.a3.txt,1892.62,1328.86,550.34,442.95,2,0,1
0223.a3.txt,1847.06,1129.41,611.76,647.06,0,0,1
0224.a3.txt,1899.22,981.91,684.75,478.04,8,0,3
0226.a3.txt,2006.84,980.62,513.11,558.72,2,0,0
0227.a3.txt,1912.57,1092.9,724.04,491.8,1,0,1
