Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0103.b3.txt,1861.84,560.24,589.72,244.31,32,1,42
0105.b3.txt,1385.14,861.49,760.14,396.96,9,0,17
0122.b3.txt,1390.32,793.0,597.32,262.62,17,3,39
0130.b3.txt,1575.98,759.75,693.02,426.08,23,5,15
0133.b3.txt,1305.14,768.53,559.35,359.25,78,7,22
0134.b3.txt,1562.14,940.77,807.2,813.01,15,0,15
0139.b3.txt,1963.66,838.22,838.22,363.42,20,1,9
0140.b3.txt,2699.75,647.6,580.32,277.54,16,0,2
0165.b3.txt,1723.0,652.75,629.56,248.51,70,0,39
0171.b3.txt,1622.81,789.47,814.54,313.28,15,0,20
0200.b3.txt,1786.19,783.53,843.29,424.97,21,0,5
0300.b3.txt,1593.05,843.67,803.97,292.8,32,1,54
0303.b3.txt,1512.42,767.49,812.64,428.89,2,0,2
0304.b3.txt,1699.06,835.13,611.95,439.16,31,4,9
0307.b3.txt,1616.27,736.67,769.65,230.9,16,6,25
0308.b3.txt,1765.08,901.59,844.44,704.76,13,1,6
0310.b3.txt,1750.21,718.98,805.26,562.86,26,8,15
0313.b3.txt,1718.5,546.25,769.54,279.11,5,4,16
1023.b3.txt,1256.41,724.36,769.23,448.72,14,0,18
1057.b3.txt,1804.95,949.05,649.2,366.81,28,1,15
1066.b3.txt,1705.51,884.53,958.69,429.03,10,0,16
1069.b3.txt,1459.68,706.3,653.33,397.29,45,2,34
1082.b3.txt,2103.9,675.32,886.36,318.18,13,2,17
1097.b3.txt,1585.6,836.58,904.67,530.16,19,2,10
1100.b3.txt,1622.01,745.84,658.94,304.13,20,2,4
1102.b3.txt,1681.42,707.96,921.83,435.1,4,4,4
1112.b3.txt,1591.28,888.53,823.91,460.42,12,0,11
1508.b3.txt,1531.87,865.84,651.76,313.99,80,1,24
1520.b3.txt,1173.54,774.81,530.13,285.46,33,1,66
1532.b3.txt,1625.78,846.56,663.78,365.56,20,4,24
1533.b3.txt,1709.78,893.29,707.36,339.53,15,0,23
1534.b3.txt,1701.17,832.58,972.1,499.55,20,0,9
1536.b3.txt,1823.06,745.31,680.97,466.49,16,4,7
2018.b3.txt,1792.78,1030.27,675.2,296.86,16,0,14
2034.b3.txt,1421.05,1142.11,605.26,394.74,18,0,16
